Vuln_ID,Brand,ProdType,Category,Price USD,YDif,Protocols,TCPIP,GATT,RF,MTP,DSP,RS232,CCX,APDU,DataStorage,PersonalInfo,Location,Auth-Encryption,CommCap,LTE,DSL,HSPA,GSM,Cellular,BLE,Bluetooth,ISM,LPN,Z-Wave,Lutron,Kidde,NFC,ZigBee,USB,MicroSD,SD Card,e-SATA,CF Card,Smart Card,Serial,UART,Coaxial,Console,Fiber,WiFi,Ethernet,CD/DVD,RFID,Infrared,CVSS,CVSS1,CVSS2,CVSS3,CVSS4,CVSS5
CVE-2018-11019,Kindle,Tablet,Smart Home,34,5,"TCPIP, GATT, MTP",TCPIP,GATT,,MTP,,,,,Local,Yes,Yes,None,"WiFi, Bluetooth, USB",,,,,,,Bluetooth,,,,,,,,USB,,,,,,,,,,,WiFi,,,,,7.5,2,4,3,2,3
CVE-2018-11020,Kindle,Tablet,Smart Home,34,5,"TCPIP, GATT, MTP",TCPIP,GATT,,MTP,,,,,Local,Yes,Yes,None,"WiFi, Bluetooth, USB",,,,,,,Bluetooth,,,,,,,,USB,,,,,,,,,,,WiFi,,,,,4.4,1,1,1,1,2
CVE-2018-11021,Kindle,Tablet,Smart Home,34,5,"TCPIP, GATT, MTP",TCPIP,GATT,,MTP,,,,,Local,Yes,Yes,None,"WiFi, Bluetooth, USB",,,,,,,Bluetooth,,,,,,,,USB,,,,,,,,,,,WiFi,,,,,7.5,2,4,3,2,3
CVE-2018-11022,Kindle,Tablet,Smart Home,34,5,"TCPIP, GATT, MTP",TCPIP,GATT,,MTP,,,,,Local,Yes,Yes,None,"WiFi, Bluetooth, USB",,,,,,,Bluetooth,,,,,,,,USB,,,,,,,,,,,WiFi,,,,,7.5,2,4,3,2,3
CVE-2018-11023,Kindle,Tablet,Smart Home,34,5,"TCPIP, GATT, MTP",TCPIP,GATT,,MTP,,,,,Local,Yes,Yes,None,"WiFi, Bluetooth, USB",,,,,,,Bluetooth,,,,,,,,USB,,,,,,,,,,,WiFi,,,,,7.5,2,4,3,2,3
CVE-2018-11024,Kindle,Tablet,Smart Home,34,5,"TCPIP, GATT, MTP",TCPIP,GATT,,MTP,,,,,Local,Yes,Yes,None,"WiFi, Bluetooth, USB",,,,,,,Bluetooth,,,,,,,,USB,,,,,,,,,,,WiFi,,,,,7.5,2,4,3,2,3
CVE-2018-11025,Kindle,Tablet,Smart Home,34,5,"TCPIP, GATT, MTP",TCPIP,GATT,,MTP,,,,,Local,Yes,Yes,None,"WiFi, Bluetooth, USB",,,,,,,Bluetooth,,,,,,,,USB,,,,,,,,,,,WiFi,,,,,7.5,2,4,3,2,3
CVE-2018-11481,TP-Link,WiFi Camera,Smart Home,51,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,None,"WiFi, Ethernet, MicroSD",,,,,,,,,,,,,,,,MicroSD,,,,,,,,,,WiFi,Ethernet,,,,8.8,3,4,4,3,3
CVE-2018-11482,TP-Link,WiFi Camera,Smart Home,51,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,None,"WiFi, Ethernet, MicroSD",,,,,,,,,,,,,,,,MicroSD,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-11491,ASUS,Smart Bridge,Smart Home,252,2,"TCPIP, GATT, RF, MTP",TCPIP,GATT,RF,MTP,,,,,Remote,No,No,None,"WiFi, Bluetooth, ZigBee, USB",,,,,,,Bluetooth,,,,,,,ZigBee,USB,,,,,,,,,,,WiFi,,,,,9.8,3,4,4,4,3
CVE-2018-11492,ASUS,Smart Bridge,Smart Home,252,2,"TCPIP, GATT, RF, MTP",TCPIP,GATT,RF,MTP,,,,,Remote,No,No,None,"WiFi, Bluetooth, ZigBee, USB",,,,,,,Bluetooth,,,,,,,ZigBee,USB,,,,,,,,,,,WiFi,,,,,7.5,2,4,3,2,3
CVE-2018-11631,Rondaful ,Smart Band,Wearable,29,4,GATT,,GATT,,,,,,,Remote,No,No,None,Bluetooth,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,4.3,1,1,1,1,2
CVE-2018-1164,Zyxel,Router,Telecomm,70,9,"TCPIP, DSP",TCPIP,,,,DSP,,,,Local,No,No,Symmetric,"Ethernet, DSL",,DSL,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-11689,Samsung,DVR,Smart Home,219,4,"TCPIP, MTP, RS232",TCPIP,,,MTP,,RS232,,,Local,No,No,Symmetric,"Ethernet, USB, Serial, eSata",,,,,,,,,,,,,,,USB,,,e-SATA,,,Serial,,,,,,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-11714,TP-Link,WiFi Router,Telecomm,22,1,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-12103,D-Link,WiFi Router,Telecomm,305,0,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.5,2,3,2,2,2
CVE-2018-12574,TP-Link,WiFi Router,Telecomm,19,1,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,8.8,3,4,4,3,3
